geoid,ncCounty,countyPopulation,snapPerc,snapTotal,nonSnapPerc,nonSnapTotal
05000US37001,"Alamance County, NC",68441,0.140296021,9602,0.859703979,58839
05000US37003,"Alexander County, NC",13895,0.099676142,1385,0.900323858,12510
05000US37005,"Alleghany County, NC",5049,0.117647059,594,0.882352941,4455
05000US37007,"Anson County, NC",8314,0.315973057,2627,0.684026943,5687
05000US37009,"Ashe County, NC",11999,0.139594966,1675,0.860405034,10324
05000US37011,"Avery County, NC",6559,0.113584388,745,0.886415612,5814
05000US37013,"Beaufort County, NC",19103,0.14934827,2853,0.85065173,16250
05000US37015,"Bertie County, NC",7024,0.276623007,1943,0.723376993,5081
05000US37017,"Bladen County, NC",11635,0.281392351,3274,0.718607649,8361
05000US37019,"Brunswick County, NC",64436,0.10017692,6455,0.89982308,57981
05000US37021,"Buncombe County, NC",102672,0.098692925,10133,0.901307075,92539
05000US37023,"Burke County, NC",35873,0.162350514,5824,0.837649486,30049
05000US37025,"Cabarrus County, NC",80370,0.107614782,8649,0.892385218,71721
05000US37027,"Caldwell County, NC",32766,0.13156931,4311,0.86843069,28455
05000US37029,"Camden County, NC",3948,0.112715299,445,0.887284701,3503
05000US37031,"Carteret County, NC",31198,0.098499904,3073,0.901500096,28125
05000US37033,"Caswell County, NC",8677,0.192693327,1672,0.807306673,7005
05000US37035,"Catawba County, NC",65201,0.129461205,8441,0.870538795,56760
05000US37037,"Chatham County, NC",32253,0.066846495,2156,0.933153505,30097
05000US37039,"Cherokee County, NC",13042,0.111179267,1450,0.888820733,11592
05000US37041,"Chowan County, NC",5989,0.229420604,1374,0.770579396,4615
05000US37043,"Clay County, NC",5041,0.118428883,597,0.881571117,4444
05000US37045,"Cleveland County, NC",37218,0.203879843,7588,0.796120157,29630
05000US37047,"Columbus County, NC",19227,0.226868466,4362,0.773131534,14865
05000US37049,"Craven County, NC",41472,0.136839313,5675,0.863160687,35797
05000US37051,"Cumberland County, NC",128118,0.195101391,24996,0.804898609,103122
05000US37053,"Currituck County, NC",11497,0.058363051,671,0.941636949,10826
