geoid,area,medianIncome,married,marriedWithKids,marriedNoKids,otherFamily,maleHouseholder,maleHouseholderWithKids,maleHouseholderNoKids,femaleHouseholder,femaleHouseholderWithKids,femaleHouseholderNoKids
06000US3718390164,"Bartons Creek township, Wake County, NC",189068,201667,231458,176129,92946,116154,,120972,91625,,178241
06000US3718390420,"Buckhorn township, Wake County, NC",204246,206166,220542,162583,108770,228112,,,75556,95492,
06000US3718390536,"Cary township, Wake County, NC",136807,154896,178585,137455,84328,100833,99074,104458,66266,54097,105436
06000US3718390576,"Cedar Fork township, Wake County, NC",157410,180334,196699,156762,80799,80147,,,82896,64411,108077
06000US3718391524,"Holly Springs township, Wake County, NC",144957,157628,171125,140279,98188,111469,112048,98604,74950,74750,75625
06000US3718391548,"House Creek township, Wake County, NC",122303,144786,174892,129294,62862,52721,46736,,66250,46329,74421
06000US3718391772,"Leesville township, Wake County, NC",149375,163592,189738,150068,77500,125044,133047,103906,58571,53795,66379
06000US3718391868,"Little River township, Wake County, NC",78766,93432,112784,69922,70364,,48536,,71250,88558,45719
06000US3718391992,"Marks Creek township, Wake County, NC",100077,118252,122135,115724,70730,70330,,70151,71000,73397,47277
06000US3718392036,"Meredith township, Wake County, NC",146471,188070,200227,186563,53443,80663,,80714,50952,48862,62933
06000US3718392056,"Middle Creek township, Wake County, NC",123803,135719,142206,124766,64551,96903,95625,122775,60625,53409,62204
06000US3718392228,"Neuse township, Wake County, NC",99558,126576,138840,116464,56449,72111,63375,74052,55105,44078,64017
06000US3718392264,"New Light township, Wake County, NC",214100,228977,250001,186042,127833,178333,179688,149750,62750,,57346
06000US3718392440,"Panther Branch township, Wake County, NC",113612,125441,142132,119683,79878,78003,,101250,85490,68370,87451
06000US3718392612,"Raleigh township, Wake County, NC",125272,167320,216978,150635,42152,44631,44744,42151,39658,33929,57425
06000US3718392788,"St. Marys township, Wake County, NC",89532,108275,101179,110042,65987,74543,73982,91354,55250,41719,71669
06000US3718392792,"St. Matthews township, Wake County, NC",86650,105066,103844,105438,59725,71315,59318,90952,54609,40013,61710
06000US3718393200,"Swift Creek township, Wake County, NC",148180,166661,178590,156534,62361,50795,81302,,63097,38897,82854
06000US3718393880,"Wake Forest township, Wake County, NC",132528,151603,163810,138306,76074,80750,75606,105156,73917,50034,113157
06000US3718393984,"White Oak township, Wake County, NC",165207,179202,190809,155452,86738,105869,128523,,84365,73613,94345
