fiscal_year,avg_benefits
1969,6.63
1970,10.55
1971,13.55
1972,13.48
1973,14.6
1974,17.61
1975,21.4
1976,23.93
1977,24.71
1978,26.77
1979,30.59
1980,34.47
1981,39.49
1982,39.17
1983,42.98
1984,42.74
1985,44.99
1986,45.49
1987,45.78
1988,49.83
1989,51.71
1990,58.78
1991,63.78
1992,68.57
1993,67.95
1994,69
1995,71.27
1996,73.21
1997,71.27
1998,71.12
1999,72.27
2000,72.62
2001,74.81
2002,79.67
2003,83.94
2004,86.16
2005,92.89
2006,94.75
2007,96.18
2008,102.19
2009,125.31
2010,133.79
2011,133.85
2012,133.41
2013,133.07
2014,125.01
2015,126.81
2016,125.4
2017,125.47
2018,124.5
2019,129.83
2020,155.06
2021,216.19
2022,230.34
2023,211.41
2024,187.15
