Month,Applications Received
25-Oct,"56,803"
25-Sep,"65,060"
25-Aug,"62,262"
25-Jul,"67,728"
25-Jun,"68,752"
25-May,"67,995"
25-Apr,"63,108"
25-Mar,"57,270"
25-Feb,"53,833"
25-Jan,"71,838"
24-Dec,"41,164"
24-Nov,"45,554"
24-Oct,"169,928"
24-Sep,"65,880"
24-Aug,"70,049"
24-Jul,"74,910"
24-Jun,"68,134"
24-May,"68,611"
24-Apr,"71,404"
24-Mar,"62,245"
24-Feb,"69,085"
24-Jan,"89,183"
23-Dec,"64,591"
23-Nov,"65,781"
23-Oct,"72,188"
23-Sep,"67,382"
23-Aug,"76,191"
23-Jul,"64,043"
23-Jun,"63,739"
23-May,"66,525"
23-Apr,"53,682"
23-Mar,"59,071"
23-Feb,"48,027"
23-Jan,"59,157"
22-Dec,"44,904"
22-Nov,"51,574"
22-Oct,"56,330"
22-Sep,"59,790"
22-Aug,"73,286"
22-Jul,"75,156"
22-Jun,"77,393"
22-May,"64,536"
22-Apr,"57,455"
22-Mar,"61,137"
22-Feb,"53,367"
22-Jan,"38,840"
21-Dec,"30,466"
21-Nov,"36,352"
21-Oct,"38,619"
21-Sep,"40,565"
21-Aug,"42,831"
21-Jul,"35,634"
21-Jun,"35,685"
21-May,"30,763"
21-Apr,"28,117"
21-Mar,"34,604"
21-Feb,"38,582"
21-Jan,"44,255"
20-Dec,"44,584"
20-Nov,"54,795"
20-Oct,"58,307"
20-Sep,"38,354"
20-Aug,"42,727"
20-Jul,"38,814"
20-Jun,"32,582"
20-May,"38,527"
20-Apr,"91,088"
20-Mar,"60,697"
20-Feb,"37,290"
20-Jan,"52,604"
19-Dec,"40,819"
19-Nov,"41,500"
19-Oct,"51,795"
19-Sep,"47,373"
19-Aug,"48,016"
19-Jul,"53,540"
19-Jun,"45,508"
19-May,"48,985"
19-Apr,"47,788"
19-Mar,"45,633"
19-Feb,"26,310"
19-Jan,"46,730"
