year,area,population,snapHousehold,snapHouseholdWithChildren,snapMarriedWithChildren,snapOtherFamilyWithChildren,snapSingleFather,snapSingleMother,snapNonFamily,snapNoChildren,snapMarriedNoChildren,snapOtherFamilyNoChildren,snapSingleMale,snapSingleFemale,snapNonFamilyNoChildren,nonSnapHousehold,nonSnapHouseholdWithChildren,nonSnapMarriedWithChildren,nonSnapOtherFamilyWithChildren,nonSnapSingleFather,nonSnapSingleMother,nonSnapNonFamily,nonSnapNoChildren,nonSnapMarriedNoChildren,nonSnapOtherFamilyNoChildren,nonSnapSingleMale,nonSnapSingleFemale,nonSnapNonFamilyNoChildren
2023,Bartons Creek,8220,99,75,24,51,34,17,0,24,0,14,14,0,10,8121,3000,2628,372,65,307,0,5121,3844,218,37,181,1059
2023,Buckhorn,3897,0,0,0,0,0,0,0,0,0,0,0,0,0,3897,2471,2218,253,48,205,0,1426,815,169,94,75,442
2023,Cary,33175,1302,772,322,450,175,275,0,530,147,45,9,36,338,31873,8576,6780,1752,894,858,44,23297,10042,1679,584,1095,11576
2023,Cedar Fork,24613,587,336,170,150,17,133,16,251,121,17,0,17,113,24026,8365,7315,1029,281,748,21,15661,6289,1277,476,801,8095
2023,Holly Springs,18900,488,190,71,119,0,119,0,298,36,121,102,19,141,18412,8933,7542,1384,571,813,7,9479,5498,694,127,567,3287
2023,House Creek,29547,1640,946,288,658,88,570,0,694,56,32,17,15,606,27907,5577,4050,1527,268,1259,0,22330,7260,1546,529,1017,13524
2023,Leesville,18007,518,242,36,206,0,206,0,276,0,25,0,25,251,17489,5348,4466,882,263,619,0,12141,5249,743,293,450,6149
2023,Little River,6462,506,300,107,193,35,158,0,206,12,142,25,117,52,5956,1725,1035,585,22,563,105,4231,2090,598,43,555,1543
2023,Marks Creek,10667,1068,435,258,156,64,92,21,633,80,225,18,207,328,9599,3444,2668,752,143,609,24,6155,2831,1029,375,654,2295
2023,Meredith,10376,246,146,86,60,13,47,0,100,0,0,0,0,100,10130,1353,984,320,72,248,49,8777,1628,296,101,195,6853
2023,Middle Creek,22194,1539,940,371,540,121,419,29,599,25,207,0,207,367,20655,7999,6747,1252,300,952,0,12656,7060,898,238,660,4698
2023,Neuse,34062,3303,1834,472,1305,53,1252,57,1469,131,348,34,314,990,30759,9305,6575,2724,680,2044,6,21454,7309,1947,564,1383,12198
2023,New Light,3917,116,83,73,10,0,10,0,33,0,19,19,0,14,3801,1509,1384,125,105,20,0,2292,1578,106,20,86,608
2023,Panther Branch,10865,426,230,124,106,0,106,0,196,34,28,0,28,134,10439,3459,2834,625,245,380,0,6980,4284,674,136,538,2022
2023,Raleigh,53607,4907,2516,228,2288,177,2111,0,2391,198,374,75,299,1819,48700,9043,6425,2549,714,1835,69,39657,10359,1710,497,1213,27588
2023,St. Marys,26413,2998,1610,429,1167,121,1046,14,1388,277,203,20,183,908,23415,7078,4615,2399,795,1604,64,16337,6275,1983,510,1473,8079
2023,St. Matthews,30993,3409,2281,954,1271,112,1159,56,1128,150,428,134,294,550,27584,8422,5324,3001,892,2109,97,19162,7340,2511,850,1661,9311
2023,Swift Creek,22119,1051,360,71,279,14,265,10,691,93,94,13,81,504,21068,4852,4122,694,239,455,36,16216,6342,1070,353,717,8804
2023,Wake Forest,36698,2133,921,169,752,64,688,0,1212,154,449,49,400,609,34565,12587,10331,2187,642,1545,69,21978,10975,1990,403,1587,9013
2023,White Oak,40904,857,467,247,192,17,175,28,390,93,123,0,123,174,40047,18754,15670,3054,1057,1997,30,21293,10562,1332,241,1091,9399
2022,Bartons Creek,8139,34,34,10,24,24,0,0,0,0,0,0,0,0,8105,3085,2701,384,51,333,0,5020,3806,197,30,167,1017
